count,mean,std,min,25%,50%,75%,max
184.0,0.42934782608695654,0.4963336713629064,0.0,0.0,0.0,1.0,1.0
184.0,1.4456521739130435,0.4983937135001308,1.0,1.0,1.0,2.0,2.0
184.0,1.5434782608695652,0.49946514514910534,1.0,1.0,2.0,2.0,2.0
184.0,3.6467391304347827,1.2847105167714106,0.0,3.0,4.0,4.0,8.0
184.0,1.6956521739130435,0.4613861376042743,1.0,1.0,2.0,2.0,2.0
184.0,2.4782608695652173,1.3426851888192741,0.0,2.0,3.0,3.0,5.0
184.0,1.483695652173913,0.5010976310341007,1.0,1.0,1.0,2.0,2.0
184.0,1.6032608695652173,0.49055585444401173,1.0,1.0,2.0,2.0,2.0
184.0,3.1032608695652173,1.243646242020231,1.0,2.0,4.0,4.0,5.0
184.0,3.7989130434782608,2.5495738233912415,0.0,2.0,3.0,5.0,14.0
184.0,10.065217391304348,6.942864950650746,1.0,4.0,9.0,15.0,28.0
184.0,1.5978260869565217,0.4916745693619734,1.0,1.0,2.0,2.0,2.0
184.0,1.3804347826086956,0.48681840521684877,1.0,1.0,1.0,2.0,2.0
184.0,1.5543478260869565,0.4983937135001308,1.0,1.0,2.0,2.0,2.0
184.0,1.298913043478261,0.45903071202593443,1.0,1.0,1.0,2.0,2.0
